mah_id,mah_name,ilce_name,current_score,future_potential_score,predicted_score_5y,score_change_5y,future_class,growth_built_growth,growth_ntl_growth,growth_poi_vitality,growth_accessibility,growth_pop_dynamics,growth_urban_form,risk_flood_risk,risk_noise_risk,risk_heat_risk,risk_low_green,risk_overcrowding
alanya_kesefli,KEŞEFLİ,Alanya,45.33476720622105,89.14,53.16,7.83,Yuksek Potansiyel,74.78,76.75,67.87,69.74,56.91,68.86,46.93,62.39,38.27,44.3,61.18
alanya_kizilcasehir,KIZILCAŞEHİR,Alanya,30.631710526088256,91.01,38.83,8.2,Yuksek Potansiyel,50.55,76.54,57.46,62.28,80.37,45.5,6.36,63.6,5.37,15.02,36.29
alanya_kizlar_pinari,KIZLAR PINARI,Alanya,92.36943474306494,86.18,95.0,2.63,Yuksek Potansiyel,62.61,92.11,95.29,88.16,38.93,98.03,81.69,94.63,51.54,94.63,92.76
alanya_kocaoglanli,KOCAOĞLANLI,Alanya,5.783209785013273,37.28,4.51,-1.27,Dusuk Potansiyel,30.37,55.59,3.78,16.34,88.38,4.5,25.22,17.65,25.77,9.32,23.79
alanya_konakli,KONAKLI,Alanya,68.87368420901359,87.94,76.46,7.59,Yuksek Potansiyel,89.91,85.09,81.91,77.41,13.93,79.61,70.18,80.26,43.42,73.68,85.09
alanya_kuzyaka,KUZYAKA,Alanya,16.09400434071609,61.4,18.37,2.28,Orta Potansiyel,19.19,52.74,51.43,44.3,79.61,42.54,18.42,45.83,1.1,30.81,22.26
alanya_kucukhasbahce,KÜÇÜKHASBAHÇE,Alanya,85.20196035687562,99.78,95.0,9.8,Yuksek Potansiyel,96.82,88.93,86.07,85.96,62.61,85.31,35.53,78.4,29.17,66.89,83.44
alanya_mahmutlar,MAHMUTLAR,Alanya,80.49074266753524,93.2,89.13,8.64,Yuksek Potansiyel,82.13,71.38,78.73,70.07,43.31,73.25,43.97,78.84,13.82,39.04,78.95
alanya_mahmutseydi,MAHMUTSEYDİ,Alanya,30.336001085128515,77.41,35.82,5.48,Yuksek Potansiyel,24.01,64.58,45.39,55.37,92.65,48.36,12.5,17.65,8.99,11.18,16.89
alanya_oba,OBA,Alanya,94.02467870105326,98.9,95.0,0.98,Yuksek Potansiyel,93.09,99.23,86.4,81.25,52.3,81.25,74.23,85.2,35.2,64.36,83.77
alanya_obaalacami,OBAALACAMİ,Alanya,21.97081298602949,41.12,21.08,-0.89,Dusuk Potansiyel,14.36,38.05,35.53,29.39,88.49,10.86,7.89,46.71,0.22,22.7,13.16
alanya_okurcalar,OKURCALAR,Alanya,51.96818181721026,87.83,59.53,7.57,Yuksek Potansiyel,71.6,80.92,74.78,73.79,39.58,75.33,56.25,72.92,27.63,53.4,70.39
alanya_payallar,PAYALLAR,Alanya,56.21626794147686,84.98,63.21,7.0,Yuksek Potansiyel,91.56,86.51,71.49,70.61,13.38,70.07,63.05,74.78,51.64,68.09,81.58
alanya_pasakoy,PAŞAKÖY,Alanya,12.442100741519123,67.76,15.99,3.55,Orta Potansiyel,19.85,68.97,12.28,40.68,94.08,42.32,1.43,17.65,9.54,4.71,11.51
alanya_sapadere,SAPADERE,Alanya,24.260671007367137,49.34,24.19,-0.07,Orta Potansiyel,26.54,50.66,30.37,22.37,79.93,22.15,7.02,37.17,8.77,28.07,18.75
